,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,liked
30,0.0783,0.0523,5,-23.247,1,0.0471,0.896,0.945,0.0806,0.0327,82.015,583293,4,1
31,0.45,0.0031,5,-24.947,1,0.0586,0.994,0.934,0.0787,0.0582,70.53,599453,4,0
32,0.334,0.232,0,-11.967,1,0.034,0.964,0.938,0.0644,0.109,73.931,306933,4,1
33,0.35,0.0324,9,-30.117,1,0.0455,0.963,0.433,0.089,0.366,125.735,208267,3,0
34,0.485,0.135,6,-18.958,0,0.0357,0.991,0.907,0.172,0.21,117.079,116743,3,1
35,0.152,0.0667,7,-23.263,1,0.039,0.964,0.471,0.0886,0.0686,96.057,431293,3,0
36,0.358,0.167,7,-16.0,0,0.0354,0.899,0.96,0.103,0.601,144.561,138707,4,1
37,0.207,0.0591,10,-27.056,1,0.0504,0.786,0.911,0.119,0.171,115.151,176253,4,0
38,0.427,0.0451,3,-24.698,1,0.041,0.99,0.913,0.112,0.0707,119.78,268427,3,1
39,0.399,0.0576,5,-27.829,1,0.0403,0.757,0.649,0.117,0.17,108.704,164160,3,0
40,0.421,0.0955,7,-32.198,0,0.0342,0.96,0.864,0.132,0.398,118.802,297000,3,1
41,0.243,0.0502,2,-25.496,1,0.0501,0.941,0.82,0.126,0.064,125.052,151760,4,0
42,0.418,0.363,7,-21.616,1,0.0501,0.927,0.927,0.0483,0.165,97.396,505545,4,1
43,0.295,0.0954,7,-19.052,0,0.0419,0.98,0.923,0.168,0.485,102.046,220627,4,0
